Файл данных опроса от 11:20:21 15.02.2021
Прибор № 1 (адрес - 1)
Addr: 1 ; Command: 1 ; Pressure: -0,0042020 MPa ; Time: 11:20:26.221 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041873 MPa ; Time: 11:20:27.227 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041859 MPa ; Time: 11:20:28.219 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041859 MPa ; Time: 11:20:29.222 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041836 MPa ; Time: 11:20:30.228 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042218 MPa ; Time: 11:20:31.226 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041914 MPa ; Time: 11:20:32.244 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042215 MPa ; Time: 11:20:33.248 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042703 MPa ; Time: 11:20:34.261 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042691 MPa ; Time: 11:20:35.262 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0043130 MPa ; Time: 11:20:36.262 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0043013 MPa ; Time: 11:20:37.251 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042573 MPa ; Time: 11:20:38.265 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042758 MPa ; Time: 11:20:39.268 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042590 MPa ; Time: 11:20:40.278 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042567 MPa ; Time: 11:20:41.263 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042471 MPa ; Time: 11:20:42.297 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042179 MPa ; Time: 11:20:43.306 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042047 MPa ; Time: 11:20:44.324 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042649 MPa ; Time: 11:20:45.313 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042331 MPa ; Time: 11:20:46.331 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042202 MPa ; Time: 11:20:47.331 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042084 MPa ; Time: 11:20:48.316 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042070 MPa ; Time: 11:20:49.333 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042220 MPa ; Time: 11:20:50.346 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042526 MPa ; Time: 11:20:51.353 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042213 MPa ; Time: 11:20:52.360 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042047 MPa ; Time: 11:20:53.373 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042222 MPa ; Time: 11:20:54.387 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042544 MPa ; Time: 11:20:55.372 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041907 MPa ; Time: 11:20:56.387 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042213 MPa ; Time: 11:20:57.392 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041927 MPa ; Time: 11:20:58.413 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042051 MPa ; Time: 11:20:59.429 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041920 MPa ; Time: 11:21:00.454 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042324 MPa ; Time: 11:21:01.439 ; Date: 15.02.2021
