Файл данных опроса от 11:20:21 15.02.2021
Прибор № 2 (адрес - 2)
Addr: 2 ; Command: 1 ; Pressure: 1,7597890 kPa ; Time: 11:20:26.535 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7585220 kPa ; Time: 11:20:27.544 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7561870 kPa ; Time: 11:20:28.532 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7573700 kPa ; Time: 11:20:29.534 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7550660 kPa ; Time: 11:20:30.540 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7556150 kPa ; Time: 11:20:31.537 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7514880 kPa ; Time: 11:20:32.556 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7532420 kPa ; Time: 11:20:33.574 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7526780 kPa ; Time: 11:20:34.572 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7556380 kPa ; Time: 11:20:35.573 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7532270 kPa ; Time: 11:20:36.576 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7550200 kPa ; Time: 11:20:37.562 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7531970 kPa ; Time: 11:20:38.577 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7531970 kPa ; Time: 11:20:39.584 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7555620 kPa ; Time: 11:20:40.589 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7555620 kPa ; Time: 11:20:41.581 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7537310 kPa ; Time: 11:20:42.599 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7555620 kPa ; Time: 11:20:43.621 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7555470 kPa ; Time: 11:20:44.639 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7572940 kPa ; Time: 11:20:45.630 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7572940 kPa ; Time: 11:20:46.631 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7584000 kPa ; Time: 11:20:47.628 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7572780 kPa ; Time: 11:20:48.627 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7572630 kPa ; Time: 11:20:49.645 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7566990 kPa ; Time: 11:20:50.661 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7572710 kPa ; Time: 11:20:51.666 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7578200 kPa ; Time: 11:20:52.672 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7590560 kPa ; Time: 11:20:53.700 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7566680 kPa ; Time: 11:20:54.700 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7566600 kPa ; Time: 11:20:55.699 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7572100 kPa ; Time: 11:20:56.703 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7577510 kPa ; Time: 11:20:57.708 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7583160 kPa ; Time: 11:20:58.725 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7589800 kPa ; Time: 11:20:59.744 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7566070 kPa ; Time: 11:21:00.750 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7577290 kPa ; Time: 11:21:01.752 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7571560 kPa ; Time: 11:21:02.755 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7553940 kPa ; Time: 11:21:03.752 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7542800 kPa ; Time: 11:21:04.755 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7535860 kPa ; Time: 11:21:05.756 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7542650 kPa ; Time: 11:21:06.776 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7535710 kPa ; Time: 11:21:07.781 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7535710 kPa ; Time: 11:21:08.786 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7518310 kPa ; Time: 11:21:09.786 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7518010 kPa ; Time: 11:21:10.803 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7512440 kPa ; Time: 11:21:11.806 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7501220 kPa ; Time: 11:21:12.804 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7476580 kPa ; Time: 11:21:13.806 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7465360 kPa ; Time: 11:21:14.826 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7470780 kPa ; Time: 11:21:15.816 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7465130 kPa ; Time: 11:21:16.833 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7481920 kPa ; Time: 11:21:17.832 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7481770 kPa ; Time: 11:21:18.834 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7464900 kPa ; Time: 11:21:19.840 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7441560 kPa ; Time: 11:21:20.839 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7452620 kPa ; Time: 11:21:21.838 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7458880 kPa ; Time: 11:21:22.842 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7458720 kPa ; Time: 11:21:23.855 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7452240 kPa ; Time: 11:21:24.872 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7440800 kPa ; Time: 11:21:25.858 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7440640 kPa ; Time: 11:21:26.878 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7469410 kPa ; Time: 11:21:27.880 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7475130 kPa ; Time: 11:21:28.881 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7463990 kPa ; Time: 11:21:29.897 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7433700 kPa ; Time: 11:21:30.901 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7446210 kPa ; Time: 11:21:31.900 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7445980 kPa ; Time: 11:21:32.902 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7446060 kPa ; Time: 11:21:33.907 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7445830 kPa ; Time: 11:21:34.911 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7427220 kPa ; Time: 11:21:35.914 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7451100 kPa ; Time: 11:21:36.932 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7457350 kPa ; Time: 11:21:37.937 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7457350 kPa ; Time: 11:21:38.955 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7462920 kPa ; Time: 11:21:39.957 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7498700 kPa ; Time: 11:21:40.962 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7498550 kPa ; Time: 11:21:41.953 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7504350 kPa ; Time: 11:21:42.957 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7504040 kPa ; Time: 11:21:43.959 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7479480 kPa ; Time: 11:21:44.962 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7473680 kPa ; Time: 11:21:45.968 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7479400 kPa ; Time: 11:21:46.960 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7462690 kPa ; Time: 11:21:47.982 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7445070 kPa ; Time: 11:21:48.983 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7421110 kPa ; Time: 11:21:49.983 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7426530 kPa ; Time: 11:21:51.012 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7439040 kPa ; Time: 11:21:52.014 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7449950 kPa ; Time: 11:21:53.001 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7438580 kPa ; Time: 11:21:54.022 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7438660 kPa ; Time: 11:21:55.036 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7455980 kPa ; Time: 11:21:56.037 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7472760 kPa ; Time: 11:21:57.037 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7472530 kPa ; Time: 11:21:58.041 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7467040 kPa ; Time: 11:21:59.048 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7449420 kPa ; Time: 11:22:00.032 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7449420 kPa ; Time: 11:22:01.040 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7443770 kPa ; Time: 11:22:02.062 ; Date: 15.02.2021
