Файл данных опроса от 11:20:21 15.02.2021
Прибор № 4 (адрес - 4)
Addr: 4 ; Command: 1 ; Pressure: -100,7740000 kPa ; Time: 11:20:26.849 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7750000 kPa ; Time: 11:20:27.858 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7773000 kPa ; Time: 11:20:28.845 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7767000 kPa ; Time: 11:20:29.852 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7773000 kPa ; Time: 11:20:30.851 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7773000 kPa ; Time: 11:20:31.854 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7763000 kPa ; Time: 11:20:32.871 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7768000 kPa ; Time: 11:20:33.870 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7767000 kPa ; Time: 11:20:34.887 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7773000 kPa ; Time: 11:20:35.884 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7785000 kPa ; Time: 11:20:36.874 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7791000 kPa ; Time: 11:20:37.874 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7796000 kPa ; Time: 11:20:38.889 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7796000 kPa ; Time: 11:20:39.898 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7813000 kPa ; Time: 11:20:40.904 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7802000 kPa ; Time: 11:20:41.896 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7790000 kPa ; Time: 11:20:42.919 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7779000 kPa ; Time: 11:20:43.937 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7773000 kPa ; Time: 11:20:44.937 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7762000 kPa ; Time: 11:20:45.942 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7750000 kPa ; Time: 11:20:46.943 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7750000 kPa ; Time: 11:20:47.942 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7767000 kPa ; Time: 11:20:48.942 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7750000 kPa ; Time: 11:20:49.958 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7762000 kPa ; Time: 11:20:50.974 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7767000 kPa ; Time: 11:20:51.982 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7773000 kPa ; Time: 11:20:52.982 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7790000 kPa ; Time: 11:20:53.993 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7778000 kPa ; Time: 11:20:55.027 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7778000 kPa ; Time: 11:20:56.025 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7784000 kPa ; Time: 11:20:57.016 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7778000 kPa ; Time: 11:20:58.022 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7801000 kPa ; Time: 11:20:59.037 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7796000 kPa ; Time: 11:21:00.057 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7801000 kPa ; Time: 11:21:01.067 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7801000 kPa ; Time: 11:21:02.070 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7830000 kPa ; Time: 11:21:03.127 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7818000 kPa ; Time: 11:21:04.064 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7801000 kPa ; Time: 11:21:05.069 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7823000 kPa ; Time: 11:21:06.072 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7830000 kPa ; Time: 11:21:07.090 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7823000 kPa ; Time: 11:21:08.095 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7818000 kPa ; Time: 11:21:09.099 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7801000 kPa ; Time: 11:21:10.100 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7789000 kPa ; Time: 11:21:11.121 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7789000 kPa ; Time: 11:21:12.134 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7784000 kPa ; Time: 11:21:13.120 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7772000 kPa ; Time: 11:21:14.118 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7772000 kPa ; Time: 11:21:15.125 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7789000 kPa ; Time: 11:21:16.129 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7812000 kPa ; Time: 11:21:17.146 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7812000 kPa ; Time: 11:21:18.146 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7801000 kPa ; Time: 11:21:19.150 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7818000 kPa ; Time: 11:21:20.152 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7806000 kPa ; Time: 11:21:21.152 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7795000 kPa ; Time: 11:21:22.152 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7789000 kPa ; Time: 11:21:23.169 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7761000 kPa ; Time: 11:21:24.168 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7761000 kPa ; Time: 11:21:25.187 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7754000 kPa ; Time: 11:21:26.173 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7761000 kPa ; Time: 11:21:27.192 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7748000 kPa ; Time: 11:21:28.193 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7777000 kPa ; Time: 11:21:29.195 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7806000 kPa ; Time: 11:21:30.209 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7812000 kPa ; Time: 11:21:31.215 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7800000 kPa ; Time: 11:21:32.215 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7789000 kPa ; Time: 11:21:33.214 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7783000 kPa ; Time: 11:21:34.218 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7783000 kPa ; Time: 11:21:35.222 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7794000 kPa ; Time: 11:21:36.228 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7760000 kPa ; Time: 11:21:37.246 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7743000 kPa ; Time: 11:21:38.249 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7748000 kPa ; Time: 11:21:39.269 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7771000 kPa ; Time: 11:21:40.272 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7777000 kPa ; Time: 11:21:41.275 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7788000 kPa ; Time: 11:21:42.268 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7794000 kPa ; Time: 11:21:43.269 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7800000 kPa ; Time: 11:21:44.275 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7800000 kPa ; Time: 11:21:45.277 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7800000 kPa ; Time: 11:21:46.284 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7794000 kPa ; Time: 11:21:47.274 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7776000 kPa ; Time: 11:21:48.298 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7765000 kPa ; Time: 11:21:49.310 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7748000 kPa ; Time: 11:21:50.295 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7731000 kPa ; Time: 11:21:51.311 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7760000 kPa ; Time: 11:21:52.329 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7776000 kPa ; Time: 11:21:53.314 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7765000 kPa ; Time: 11:21:54.335 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7776000 kPa ; Time: 11:21:55.350 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7759000 kPa ; Time: 11:21:56.352 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7770000 kPa ; Time: 11:21:57.349 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7776000 kPa ; Time: 11:21:58.355 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7770000 kPa ; Time: 11:21:59.360 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7770000 kPa ; Time: 11:22:00.347 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7753000 kPa ; Time: 11:22:01.356 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7775000 kPa ; Time: 11:22:02.361 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7781000 kPa ; Time: 11:22:03.348 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7781000 kPa ; Time: 11:22:04.368 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7793000 kPa ; Time: 11:22:05.385 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7804000 kPa ; Time: 11:22:06.399 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7781000 kPa ; Time: 11:22:07.385 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7787000 kPa ; Time: 11:22:08.398 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7775000 kPa ; Time: 11:22:09.402 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7752000 kPa ; Time: 11:22:10.419 ; Date: 15.02.2021
